info,timestamp
1TPKDECX168PS0QAF9,10:31:09 AM
1TOR4ACX1GBJ1HGAF5,10:31:11 AM
1TOVSIHX16CU9H4AFA,10:31:18 AM
1TORQFMX15IVMIOAFT,10:31:23 AM
1TPJJ5TX1GAOHOKAFU,10:31:29 AM
1TP9QF9X1GAO1I2AF3,10:31:31 AM
1TPHJ3FX15IFL7AAF1,10:32:07 AM
1TPC9S3X1G643V6AFK,10:32:09 AM
1TPK5K3X1GBUJQHAFY,10:32:24 AM
1TPA3N7X1G9DQACAFF,10:32:31 AM
1TPCLV3X15FOB1KNFG,10:32:49 AM
1TPEGBLX1G4HKNSNFX,10:32:50 AM
1TP0O9RX15KJKODAFV,10:35:12 AM
1TOSD0PX1DOG83RAFZ,10:35:13 AM
1TPKLQMX1G8RD1EAF5,10:35:14 AM
1TP1NQAX14QJAAHAFP,10:35:17 AM
1TPJJ1RX1GAAIGMAFH,10:36:00 AM
1TPEF65X1G5CFU8AF2,10:36:06 AM
1TP5MDPX1G7EDLQAFP,10:36:30 AM
1TPD6JLX1G83T2CAFF,10:36:34 AM
1TOQSFLX1GAKUTGAFH,10:36:48 AM
1TPF49VX16I059KAFR,10:36:49 AM
1TP7O3HX1D3RSA3AFE,10:36:50 AM
1TORFR6X0VE0HO8AFE,10:36:54 AM
1TP1LHBX1G5CJKDAF4,10:36:55 AM
1TPGEHKX1GCLAGSAF6,10:37:00 AM
1TPISH0X1GA7KK4AFR,10:37:16 AM
1TPC3HFX1G48VLSAFN,10:38:15 AM
1TPJ3C8X1G694MSAFO,10:38:18 AM
1TONCV6X1G46H9DAFE,10:38:23 AM
1TPIA7TX1GBGVHKAFN,10:38:26 AM
1TOPKC0X1GCOG70AF3,10:39:17 AM
1TPC9MMX1G6EUMUASW,10:39:27 AM
1TOON2MX1G8TGO6AFC,10:39:35 AM
1TP2F11X1G7QEG5AFV,10:41:13 AM
1TP96P8X19FDKH2AFA,10:41:22 AM
1TP8TOSX1G8K1SRAFF,10:41:26 AM
1TP5UN5X1G901C1AFY,10:41:37 AM
1TOPOK1X1G9EICMAFL,10:41:40 AM
1TP17EIX1FPBDSEAFQ,10:41:43 AM
1TPGPMKX1G5OKUQAFM,10:41:47 AM
1TPBV8NX1G83QCCAFB,10:42:40 AM
1TOUE3LX165B40UAS6,10:43:00 AM
1TP7V8TX1GCH82FAF2,10:43:11 AM
1TPK7HCX164N2MUAFG,10:43:28 AM
1TP2D64X15U0GR4AFE,10:43:46 AM
1TPBDUBX1G71R32AF9,10:43:50 AM
1TPCTIKX1GAE1MEAFF,10:43:56 AM
1TOS0M1X1FTNAF5AFN,10:44:08 AM
1TOPODQX1G5CC98AF7,10:44:10 AM
1TPIIJDX1G4F7Q4AF9,10:44:18 AM
1TORRQSX1G5M380ASE,10:44:20 AM
1TPKK8AX1G879O7AF7,10:44:27 AM
G190634WV86SL01,10:44:31 AM
1TP5L2OX1FT0FMANFR,10:44:35 AM
1TOU0J1X1G1BAL4AFW,10:44:42 AM
1TPGEHKX1GCLAGSAF6,10:44:47 AM
1TOQSFLX1GAKUTGAFH,10:44:58 AM
1TP0VQ3X1G9U1SEAFZ,10:45:18 AM
1TP7JQQX1G0VK64VFA,10:45:22 AM
1TPKF8GX168QL7PASJ,10:45:48 AM
1TPIU9GX1FVC7I2AS9,10:45:53 AM
1TPKR28X1G6PHRJAFR,10:46:32 AM
1TOQ1UCX1GC4NO8ASO,10:46:35 AM
1TOTS4DX15JP54FNF2,10:46:51 AM
1TPDN3FX1FKNLQLAFN,10:47:10 AM
1TPK24UX15LJAEGAFS,10:47:25 AM
1TOOVAAX1DTE4N7AFS,10:47:28 AM
1TPG4KLX1GB03MNAFA,10:47:37 AM
1TPJPFKX1BBEEOJAFG,10:48:27 AM
1TPKS7KX16G10F8AFH,10:48:29 AM
1TP4RKRX1G9ANN5AFE,10:49:45 AM
1TOOANRX157ODAOAFI,10:49:48 AM
1TOPJILX1G82UUFAF7,10:49:53 AM
1TP2E9TX15CJSTHAFJ,10:49:56 AM
1TPI414X1GA0H9BASH,10:52:07 AM
1TP843VX1G8SF3AAMW,10:52:41 AM
1TOO55AX1DN7J1PAF5,10:52:43 AM
1TP6UA6X1G8KU55AS9,10:52:44 AM
1TPBRT5X1G50ISHAS4,10:52:45 AM
1TOTIGQX1G7Q6VQAFN,10:53:06 AM
1TP3BK4X1G5R21PNF2,10:53:08 AM
1TP72TFX1G7M0R2AFQ,10:53:10 AM
1TPIA7TX1GBGVHKAFN,10:54:22 AM
1TP43RBX1688TVAAFW,10:56:32 AM
1TOR6OBX1GA6C98AF3,10:57:38 AM
1TPJSIDX1G38PA6AFK,10:59:42 AM
1TOTMMMX1G85ARGAFP,10:59:44 AM
1TPB6UEX1A0F61KAFF,10:59:45 AM
1TOR0K3X15C50CHAFB,10:59:58 AM
1TP8R2GX1G8R260AFJ,10:59:59 AM
1TPKPN0X19UTTJ5AFR,11:01:47 AM
1TOU5HKX161A8PCAFR,11:01:48 AM
1TP5QNUX1GANDHOAFG,11:01:50 AM
1TPG9TOX13D02MKAFG,11:04:22 AM
1TON2GOX1FPGEEAAFR,11:05:38 AM
1TPJ7PAX1G1EM9HAFM,11:06:00 AM
1TPGO2HX1E1590OAFH,11:07:01 AM
1TONPTRX1FTBK2DAFE,11:07:02 AM
1TP1UJTX1G4BH2LAMU,11:07:12 AM
1TP30KQX160MLP9AMS,11:07:21 AM
1TP8OQRX1G2L7RHAMH,11:07:23 AM
1TOUQ5LX1GAG6G8AFV,11:08:41 AM
1TP2DI1X1GAST9KAFO,11:08:46 AM
1TONEK6X1FRGNHBAFP,11:08:48 AM
1TPDMTMX1FQVNMAAFF,11:08:49 AM
1TP926IX1G44AG0NF5,11:09:12 AM
1TP728UX1FMG25SAS2,11:09:18 AM
1TPGD1FX1GA7N5EAF6,11:09:21 AM
1TPBV2AX1G4V03HNFU,11:09:25 AM
1TON7BCX19P8GH4AFD,11:09:28 AM
1TPIN9PX168FICNASG,11:10:33 AM
1TPGLSSX1G8F804AF9,11:11:34 AM
1TOTS3UX1G91E57AF0,11:11:37 AM
1TOP224X1G901E4AFH,11:12:09 AM
1TP9VEAX1G97Q5CAF4,11:12:10 AM
1TPBK8NX1G8SJHJAF9,11:12:14 AM
1TPBN04X1FVEK6JAFQ,11:12:21 AM
1TP3V6BX1GA0HHBASI,11:12:39 AM
1TOPODQX1G5CC98AF7,11:12:41 AM
1TP9QF9X1GAO1I2AF3,11:13:00 AM
1TP717NX15TDSPDAFA,11:13:33 AM
1TOPAK0X1G70Q2DAFV,11:13:41 AM
1TOTLKUX10L0SSMAFN,11:14:13 AM
1TPJDRGX1GA310GAFW,11:14:15 AM
1TPJPDPX165P6V2AFL,11:14:17 AM
1TPCLV3X15FOB1KNFG,11:15:03 AM
1TP9M0JX11LE2S7AFU,11:15:17 AM
1TPHQS5X1G9AG5HAFL,11:15:32 AM
1TPBDUBX1G71R32AF9,11:15:35 AM
1TPBHMCX1G9NMQVAFZ,11:15:39 AM
1TPGQCLX1GARJMIAF7,11:16:34 AM
1TOPOK1X1G9EICMAFL,11:16:37 AM
1TONPTRX1FTBK2DAFE,11:16:52 AM
1TPGO2HX1E1590OAFH,11:16:54 AM
1TP5A1BX1FQMB3GAFT,11:17:35 AM
1TOVFBKX1G85OC9AF9,11:17:39 AM
1TP3FVBX1G5IURKASS,11:18:00 AM
1TP843BX18JDBE0ASS,11:18:01 AM
1TPDN3FX1FKNLQLAFN,11:18:05 AM
1TP4NN7X1G64IKEASP,11:18:16 AM
1TOTUF0X1GBP0ODAF9,11:21:04 AM
1TPKPN0X19UTTJ5AFR,11:21:15 AM
1TOTMMMX1G85ARGAFP,11:21:18 AM
1TP17EIX1FPBDSEAFQ,11:21:21 AM
1TPLDD5X1G1VV7MNFS,11:21:26 AM
1TPKJ99X1GAM7M2AFT,11:21:30 AM
1TP2P19X1G788I6AF3,11:21:31 AM
1TP8F9PX1GBK35QAFF,11:21:33 AM
1TOTB4PX166FG04AF1,11:21:34 AM
1TPGPMKX1G5OKUQAFM,11:21:35 AM
1TOTUU2X1GCCSM9AF2,11:21:59 AM
1TP0HVAX1G5LVT9AF7,11:22:01 AM
1TPHJ3FX15IFL7AAF1,11:22:05 AM
1TPKDECX168PS0QAF9,11:22:08 AM
1TP926IX1G44AG0NF5,11:22:27 AM
1TPHNSCX1G5M0EKAF5,11:22:40 AM
1TP37MBX1G7HFCPAFF,11:23:09 AM
1TP2D64X15U0GR4AFE,11:24:29 AM
1TOUK0NX1G8B4FFASF,11:25:58 AM
1TPKDUGX112OJJLAF7,11:26:20 AM
1TP4A02X1642QFLAFY,11:27:03 AM
1TPGTIDX1G4RS66AF2,11:27:09 AM
1TOPRQ6X1G3M9SNAFK,11:27:12 AM
1TP72TFX1G7M0R2AFQ,11:27:19 AM
1TPJ2FFX1G7D95IAFW,11:27:29 AM
1TPD2PPX1GAGSM4AFH,11:27:35 AM
1TP843VX1G8SF3AAMW,11:28:17 AM
1TP6UA6X1G8KU55AS9,11:28:24 AM
1TPFQQNX164V1SKAFB,11:28:52 AM
1TP4VVRX1G8BUVMVFU,11:29:11 AM
1TP09HQX161GT2DNF7,11:29:13 AM
1TPKVE6X1F9GT47NFO,11:29:38 AM
1TP9U5NX1G5VHTGNF3,11:29:41 AM
1TPC1GEX1FB2C3HAF3,11:29:44 AM
1TOTS4DX15JP54FNF2,11:29:46 AM
1TPE9ISX1G9NUD2NFF,11:29:59 AM
1TPD6JLX1G83T2CAFF,11:30:14 AM
1TP1NQAX14QJAAHAFP,11:30:38 AM
1TPHDF1X1GC6RINASU,11:30:41 AM
1TOTQLDX1G9DHI7AF6,11:30:54 AM
1TPBVV2X1BD4UJ2AFS,11:30:58 AM
1TP0IMHX15LFG8NAFU,11:31:23 AM
1TP608GX1FMGD4BNF7,11:31:28 AM
1TOTHI6X15V0HH7AFO,11:31:38 AM
1TOSD0PX1DOG83RAFZ,11:32:21 AM
1TPBV2AX1G4V03HNFU,11:32:42 AM
1TP5L2OX1FT0FMANFR,11:32:52 AM
1TOU0J1X1G1BAL4AFW,11:32:58 AM
1TPIIJDX1G4F7Q4AF9,11:33:01 AM
1TORRQSX1G5M380ASE,11:33:02 AM
